Anno,Menos de 1 año,1 a 2 años,3 a 5 años,6 a 10 años,11 a 15 años,16 a 19 años,20 y más años,No consta
1998,0,811,4330,8090,5950,4290,10600,1750
1999,0,936,4290,8260,6090,4090,10900,1570
2000,0,838,4560,8660,6310,4190,11700,1440
2001,0,910,4720,8930,6930,4120,12000,1600
2002,0,978,5330,9540,7370,4250,12600,1580
2003,0,1090,6050,10200,8300,4620,13600,1650
2004,0,1180,6700,11100,9340,5540,15300,1880
2005,60,4150,10500,15300,12200,7570,19500,3590
2006,945,9150,17900,26100,20400,13900,34400,4180
2007,1100,8440,16900,26400,20900,14900,37100,0
2008,841,6890,13800,20200,15600,11600,29200,0
2009,841,6890,13800,20200,15600,11600,29200,0
2010,816,7370,14900,21200,16400,11700,30200,0
2011,761,6600,15100,21600,16800,11300,31200,0
2012,858,6200,15200,21400,17100,11300,31800,0
